Name,Center
KAPENGURIA,"{""lat"":1.515275,""lon"":35.145643}"
SIGOR,"{""lat"":1.563447,""lon"":35.544956}"
KACHELIBA,"{""lat"":2.056555,""lon"":35.112003}"
"POKOT SOUTH","{""lat"":1.341989,""lon"":35.294305}"
