Name,Center
LUGARI,"{""lat"":0.645995,""lon"":34.91525}"
LIKUYANI,"{""lat"":0.763804,""lon"":35.089894}"
MALAVA,"{""lat"":0.451759,""lon"":34.834448}"
LURAMBI,"{""lat"":0.287159,""lon"":34.702002}"
NAVAKHOLO,"{""lat"":0.399803,""lon"":34.673984}"
"MUMIAS WEST","{""lat"":0.275913,""lon"":34.443505}"
"MUMIAS EAST","{""lat"":0.3297,""lon"":34.56536}"
MATUNGU,"{""lat"":0.407822,""lon"":34.459772}"
BUTERE,"{""lat"":0.222388,""lon"":34.523482}"
KHWISERO,"{""lat"":0.147899,""lon"":34.582292}"
SHINYALU,"{""lat"":0.27348,""lon"":34.857615}"
IKOLOMANI,"{""lat"":0.192293,""lon"":34.70886}"
