Name,Center
ILDAMAT,"{""lat"":-1.082868,""lon"":36.009428}"
MAJIMOTO/NAROOSURA,"{""lat"":-1.418485,""lon"":35.824691}"
OLOLULUNG'A,"{""lat"":-0.972191,""lon"":35.647091}"
MELELO,"{""lat"":-0.878134,""lon"":35.62913}"
LOITA,"{""lat"":-1.861392,""lon"":35.849867}"
SOGOO,"{""lat"":-0.809088,""lon"":35.59602}"
SAGAMIAN,"{""lat"":-0.710146,""lon"":35.501704}"
