Name,Center
KACHIEN'G,"{""lat"":-0.820312,""lon"":34.06712}"
KANYASA,"{""lat"":-0.827726,""lon"":34.166916}"
"NORTH KADEM","{""lat"":-0.897049,""lon"":34.168356}"
MACALDER/KANYARWANDA,"{""lat"":-0.97426,""lon"":34.265007}"
KALER,"{""lat"":-1.06776,""lon"":34.23584}"
"GOT KACHOLA","{""lat"":-0.987988,""lon"":34.168495}"
MUHURU,"{""lat"":-0.973306,""lon"":34.041085}"
