Name,Center
BONCHARI,"{""lat"":-0.664599,""lon"":34.689852}"
"SOUTH MUGIRANGO","{""lat"":-0.849868,""lon"":34.656079}"
"BOMACHOGE BORABU","{""lat"":-0.910306,""lon"":34.754751}"
BOBASI,"{""lat"":-0.830699,""lon"":34.808539}"
"BOMACHOGE CHACHE","{""lat"":-0.810179,""lon"":34.709283}"
"NYARIBARI MASABA","{""lat"":-0.838924,""lon"":34.931741}"
"NYARIBARI CHACHE","{""lat"":-0.739093,""lon"":34.822799}"
"KITUTU CHACHE NORTH","{""lat"":-0.56467,""lon"":34.820016}"
"KITUTU CHACHE SOUTH","{""lat"":-0.618229,""lon"":34.753904}"
