Name,Center
MOLO,"{""lat"":-0.340007,""lon"":35.781145}"
NJORO,"{""lat"":-0.487235,""lon"":35.966922}"
NAIVASHA,"{""lat"":-0.868002,""lon"":36.392502}"
GILGIL,"{""lat"":-0.536075,""lon"":36.259638}"
"KURESOI SOUTH","{""lat"":-0.51627,""lon"":35.636385}"
"KURESOI NORTH","{""lat"":-0.290784,""lon"":35.600326}"
SUBUKIA,"{""lat"":-0.011611,""lon"":36.18573}"
RONGAI,"{""lat"":-0.092306,""lon"":35.994048}"
BAHATI,"{""lat"":-0.209806,""lon"":36.127899}"
"NAKURU TOWN WEST","{""lat"":-0.355481,""lon"":36.056874}"
"NAKURU TOWN EAST","{""lat"":-0.356848,""lon"":36.114055}"
