Name,Center
"LUANDA TOWNSHIP","{""lat"":0.034682,""lon"":34.596132}"
WEMILABI,"{""lat"":0.060206,""lon"":34.639084}"
MWIBONA,"{""lat"":0.023638,""lon"":34.563697}"
"LUANDA SOUTH","{""lat"":-0.007756,""lon"":34.568144}"
EMABUNGO,"{""lat"":0.027432,""lon"":34.627265}"
