Name,Center
UKIA,"{""lat"":-1.759184,""lon"":37.512974}"
KEE,"{""lat"":-1.726244,""lon"":37.359576}"
KILUNGU,"{""lat"":-1.786637,""lon"":37.372529}"
ILIMA,"{""lat"":-1.82654,""lon"":37.42892}"
