Name,Center
"KITUTU MASABA","{""lat"":-0.688534,""lon"":34.902158}"
"WEST MUGIRANGO","{""lat"":-0.583596,""lon"":34.929636}"
"NORTH MUGIRANGO","{""lat"":-0.501335,""lon"":34.992797}"
BORABU,"{""lat"":-0.713771,""lon"":35.021785}"
