Name,Center
KAPSOIT,"{""lat"":-0.286273,""lon"":35.215692}"
AINAMOI,"{""lat"":-0.26719,""lon"":35.282392}"
KAPKUGERWET,"{""lat"":-0.335759,""lon"":35.30377}"
KIPCHEBOR,"{""lat"":-0.371358,""lon"":35.264967}"
KIPCHIMCHIM,"{""lat"":-0.322648,""lon"":35.272298}"
KAPSAOS,"{""lat"":-0.279713,""lon"":35.346944}"
