Name,Center
TULIMANI,"{""lat"":-1.577732,""lon"":37.408969}"
MBOONI,"{""lat"":-1.644439,""lon"":37.441764}"
KITHUNGO/KITUNDU,"{""lat"":-1.688213,""lon"":37.477896}"
KITETA/KISAU,"{""lat"":-1.604897,""lon"":37.523981}"
WAIA-KAKO,"{""lat"":-1.671478,""lon"":37.620638}"
KALAWA,"{""lat"":-1.687389,""lon"":37.753898}"
