Name,Center
LODOKEJEK,"{""lat"":0.899618,""lon"":36.857828}"
"SUGUTA MARMAR","{""lat"":0.909824,""lon"":36.57928}"
MARALAL,"{""lat"":1.114562,""lon"":36.686118}"
LOOSUK,"{""lat"":1.110369,""lon"":36.505256}"
PORO,"{""lat"":1.229076,""lon"":36.5696}"
