Name,Center
"LAIKIPIA WEST","{""lat"":0.325806,""lon"":36.484102}"
"LAIKIPIA EAST","{""lat"":-0.04726,""lon"":36.838801}"
"LAIKIPIA NORTH","{""lat"":0.424539,""lon"":36.906235}"
