Name,Center
KINANGOP,"{""lat"":-0.644002,""lon"":36.59227}"
KIPIPIRI,"{""lat"":-0.381661,""lon"":36.506798}"
"OL KALOU","{""lat"":-0.276695,""lon"":36.334159}"
"OL JOROK","{""lat"":-0.090737,""lon"":36.333187}"
NDARAGWA,"{""lat"":-0.089288,""lon"":36.529088}"
