Name,Center
CHANGAMWE,"{""lat"":-4.026797,""lon"":39.614571}"
JOMVU,"{""lat"":-3.996042,""lon"":39.604102}"
KISAUNI,"{""lat"":-3.971323,""lon"":39.68524}"
NYALI,"{""lat"":-4.030199,""lon"":39.703432}"
LIKONI,"{""lat"":-4.094062,""lon"":39.633005}"
MVITA,"{""lat"":-4.051462,""lon"":39.661376}"
