Name,Center
"NORTH GEM","{""lat"":0.12336,""lon"":34.416248}"
"WEST GEM","{""lat"":0.03781,""lon"":34.411152}"
"CENTRAL GEM","{""lat"":0.077195,""lon"":34.470234}"
"YALA TOWNSHIP","{""lat"":0.106974,""lon"":34.529746}"
"EAST GEM","{""lat"":0.036714,""lon"":34.518905}"
"SOUTH GEM","{""lat"":-0.020404,""lon"":34.437644}"
