Name,Center
"GATUNDU SOUTH","{""lat"":-0.969705,""lon"":36.823119}"
"GATUNDU NORTH","{""lat"":-0.906317,""lon"":36.828785}"
JUJA,"{""lat"":-1.1099,""lon"":37.032887}"
"THIKA TOWN","{""lat"":-1.063414,""lon"":37.162062}"
RUIRU,"{""lat"":-1.182458,""lon"":37.002658}"
GITHUNGURI,"{""lat"":-1.06763,""lon"":36.794324}"
KIAMBU,"{""lat"":-1.157335,""lon"":36.84106}"
KIAMBAA,"{""lat"":-1.162697,""lon"":36.760164}"
KABETE,"{""lat"":-1.214928,""lon"":36.698671}"
KIKUYU,"{""lat"":-1.24599,""lon"":36.613059}"
LIMURU,"{""lat"":-1.141737,""lon"":36.625372}"
LARI,"{""lat"":-0.944371,""lon"":36.666889}"
